title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
At the Earths Core	1976	NULL	NULL	1976-06-30	89	5	tt0074157	Adventure-Fantasy-Science Fiction
Adaptation	2002	19000000	32801173	2002-12-06	114	7.3	tt0268126	Comedy-Crime-Drama
A Broken Life	2008	NULL	NULL	2008-09-23	97	NULL	tt0937391	Drama-Indie
A Dangerous Man	2010	6500000	NULL	2009-01-01	94	4.9	tt1360767	Action-Adventure-Thriller
A Dirty Shame	2004	15000000	1914166	2004-09-24	89	5.3	tt0365125	Comedy
A Fei Zheng Chuan	1991	NULL	141864	1990-12-15	91	6.9	tt0101258	Crime-Drama-Romance
A Good Day to Be Black & Sexy	2008	NULL	NULL	2008-12-07	92	3	tt0482517	Drama-Romance-Indie
A Guerra dos Rocha	2008	NULL	NULL	2008-01-01	76	5.5	tt0972378	NULL
A Guide to Recognizing Your Saints	2006	NULL	1695607	2006-09-29	97	7.2	tt0473488	Crime-Drama
A Haunted House	2013	2500000	40041683	2013-01-11	86	5.5	tt2243537	Comedy-Horror
A Home at the End of the World	2004	65000000	1548955	2004-07-23	96	7.3	tt0359423	Drama-Romance
A Life Less Ordinary	1997	NULL	NULL	1997-10-24	103	6	tt0119535	Comedy-Drama-Fantasy-Science Fiction-Thriller-Romance
A Man for All Seasons	1966	NULL	NULL	1966-12-12	120	8.1	tt0060665	Drama-History
A Menina e o Estuprador	1982	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A Mighty Heart	2007	16000000	18928871	2007-05-21	100	6.8	tt0829459	Drama-Thriller-Indie
A Mighty Wind	2003	NULL	NULL	2003-04-16	91	6	tt0310281	Comedy-Music
Ameera	2014	NULL	NULL	2014-04-11	96	9	tt3717186	Action-Thriller
American Dreams in China	2013	NULL	NULL	2013-05-18	112	7	tt2278392	Drama
A Queda	1978	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A vizsga	2009	NULL	NULL	2009-06-19	101	6.4	tt1258197	Mystery-Thriller
A Walk In The Clouds	1995	NULL	NULL	1995-05-27	102	6.5	tt0114887	Drama-Romance
A Walk To Remember	2002	11000000	41227069	2002-01-25	101	6.8	tt0281358	Drama-Romance-Family
ATeam The	2010	110000000	176394723	2010-06-11	117	6.2	tt0429493	Action-Adventure-Comedy-Crime-Thriller
Aadhi Bhagavan	2013	NULL	NULL	2013-02-22	160	NULL	tt1671446	Action
Aaj Ka Arjun	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aaja Nachle	2007	NULL	3800000	2007-11-30	146	9.5	tt0986213	Drama-Romance-Foreign
Aaltra	2004	NULL	NULL	2004-01-29	92	8	tt0405629	Comedy-Drama-Foreign
Aanslag De	1986	NULL	203781	1986-02-06	124	5.7	tt0090576	Drama-History-Foreign
Aarakshan	2011	NULL	NULL	2011-08-12	164	5.7	tt1848771	Drama-Foreign
Aashiqui	1990	NULL	NULL	1990-07-23	152	10	tt0149573	Drama-Romance-Foreign
Aau chin	1999	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aazaan	2011	NULL	NULL	2011-10-14	NULL	NULL	tt2033947	Thriller-Foreign
Aballay el hombre sin miedo	2010	NULL	NULL	2010-11-10	100	4	tt1554426	Drama-Western
Abandoned The	2006	NULL	NULL	2006-09-11	99	5.5	tt0475937	Horror-Thriller-Foreign
Abbott and Costello Meet the Invisible Man	1951	NULL	NULL	1951-01-01	82	6.5	tt0043255	Comedy-Horror
ABCs of Death The	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Abducted: The Carlina White Story	2012	NULL	NULL	2012-10-06	90	NULL	tt2212658	Drama
Abduction	2011	35000000	82087155	2011-09-23	106	5.3	tt1600195	Action-Drama-Mystery-Thriller
About A Boy	2002	27000000	129000000	2002-05-17	101	6.3	tt0276751	Comedy-Drama-Romance
About Love	2005	NULL	NULL	2005-04-12	102	8.5	tt0456821	Romance
About Schmidt	2002	30000000	105834556	2002-12-13	125	6.5	tt0257360	Comedy-Drama
About Sunny	2011	NULL	NULL	2011-09-09	103	NULL	tt1198199	NULL
Above the Law	1988	7500000	NULL	1988-04-08	99	6.2	tt0094602	Action-Adventure-Drama-Thriller
Abraham Lincoln: Vampire Hunter	2012	69000000	112265139	2012-06-22	94	5.5	tt1611224	Action-Fantasy-Horror
Absence of Malice	1981	NULL	NULL	1981-12-18	116	6.4	tt0081974	Drama-Thriller-Romance
Absentia	2011	70000	NULL	2011-03-03	92	6.6	tt1610996	Horror-Thriller
Absolute Power	1997	50000000	50068310	1997-02-13	121	6.5	tt0118548	Crime-Drama-Suspense-Thriller
Abyss The	1989	70000000	90000098	1989-08-08	139	6.6	tt0096754	Action-Adventure-Science Fiction-Thriller
Accepted	2006	23000000	38505009	2006-08-18	93	6	tt0384793	Comedy
Accident	1967	NULL	NULL	1967-02-05	105	7.3	tt0061328	Drama-Romance
Accidental Tourist The	1988	NULL	NULL	1988-12-23	121	5.9	tt0094606	Drama-Romance
Accused The	1988	NULL	NULL	1988-10-14	111	5.1	tt0094608	Drama
Ace Of Hearts	2008	NULL	NULL	2008-05-06	100	6	tt1032746	Drama-Family
Ace Ventura Jr: Pet Detective	2009	NULL	NULL	2009-03-03	93	3.6	tt0844029	Comedy-Family
Ace Ventura: Pet Detective	1994	NULL	NULL	1994-02-04	86	6.2	tt0109040	Comedy-Mystery
Ace Ventura: When Nature Calls	1995	NULL	NULL	1995-11-10	90	6.1	tt0112281	Comedy
Across the Hall	2009	NULL	NULL	2009-10-30	93	6.8	tt1176724	Thriller-Romance
Across the Line: The Exodus of Charlie Wright	2010	NULL	NULL	2010-12-29	94	7.4	tt1663193	Action-Crime-Drama-Thriller
Across the Pacific	1942	NULL	NULL	1942-09-05	97	6.7	tt0034428	Adventure-Drama-Romance-War
Across The Universe	2007	NULL	NULL	2007-09-14	133	6.3	tt0445922	Adventure-Drama-Music-Romance
Act of Dishonour	2010	NULL	NULL	2010-06-01	90	NULL	tt1670620	NULL
Act of Valor	2012	12000000	64149755	2012-02-24	110	6.1	tt1591479	Action-Thriller-War
Action	1980	NULL	NULL	1980-01-04	121	NULL	tt0078732	NULL
Action Boys	2008	NULL	NULL	2008-08-28	NULL	5	tt1441233	NULL
Adam	2009	NULL	2277396	2009-07-29	99	7.3	tt1185836	Drama-Romance
Adieu au TNS	1998	NULL	NULL	1998-01-01	7	NULL	tt2657486	NULL
Adjustment Bureau The	2011	51000000	125962137	2011-03-04	106	6.2	tt1385826	Fantasy-Thriller-Romance
Admiral	2008	2000000	38135878	2008-06-06	123	7.5	tt1101026	Action-Drama-History-War
Adulthood	2008	NULL	NULL	2008-06-16	99	6.9	tt1126596	Drama-Indie-Foreign
Adventureland	2009	9500000	17164377	2009-04-03	107	6.2	tt1091722	Comedy
Adventures in Babysitting	1987	NULL	34368475	1987-07-01	102	7.2	tt0092513	Comedy-Family
Adventures Of Baron Munchausen The	1988	NULL	NULL	1988-12-07	126	7.1	tt0096764	Action-Adventure-Comedy-Fantasy
Adventures of Huck Finn The	1993	NULL	NULL	1993-04-02	108	6.3	tt0106223	Action-Adventure-Drama-Family
Adventures of Priscilla Queen of the Desert The	1994	NULL	NULL	1994-08-10	104	7	tt0109045	Comedy-Drama-Musical
Adventures of Sherlock Holmes The	1939	NULL	NULL	1939-09-01	85	7	tt0031022	Crime-Drama-Mystery-Thriller
Adventures of Tintin: The Secret of the Unicorn The	2011	130000000	371940071	2011-12-20	107	6.4	tt0983193	Action-Adventure-Animation-Mystery-Family
Aein	2005	NULL	NULL	2005-12-08	98	6	tt0492533	Romance
